country,month,prediction
ARE,2023-10-31,0.2204923454375327
ARE,2023-11-30,0.27033878012650087
ARE,2023-12-31,0.2719506750699144
ARE,2024-01-31,0.2719506750699144
ARE,2024-02-29,0.25347053627725163
ARE,2024-03-31,0.2719506750699144
ARG,2023-10-31,0.2523162324602796
ARG,2023-11-30,0.22160721630173827
ARG,2023-12-31,0.25290972604553597
ARG,2024-01-31,0.26939080732796555
ARG,2024-02-29,0.2523162324602796
ARG,2024-03-31,0.25290972604553597
AUS,2023-10-31,0.24413371348836052
AUS,2023-11-30,0.27131459427086646
AUS,2023-12-31,0.27294638231369844
AUS,2024-01-31,0.27294638231369844
AUS,2024-02-29,0.25528749288741875
AUS,2024-03-31,0.25528749288741875
BEL,2023-10-31,0.22664121103062984
BEL,2023-11-30,0.2568733791517837
BEL,2023-12-31,0.27294638231369844
BEL,2024-01-31,0.25528749288741875
BEL,2024-02-29,0.24689778093749748
BEL,2024-03-31,0.27294638231369844
BRA,2023-10-31,0.21260783991882792
BRA,2023-11-30,0.25528749288741875
BRA,2023-12-31,0.22971038127968205
BRA,2024-01-31,0.22382000499622282
BRA,2024-02-29,0.25528749288741875
BRA,2024-03-31,0.25528749288741875
CAN,2023-10-31,0.2569442000125683
CAN,2023-11-30,0.22793971967548252
CAN,2023-12-31,0.23773287443396215
CAN,2024-01-31,0.2569442000125683
CAN,2024-02-29,0.2753836099767162
CAN,2024-03-31,0.23773287443396215
CHE,2023-10-31,0.22793971967548252
CHE,2023-11-30,0.2753836099767162
CHE,2023-12-31,0.2753836099767162
CHE,2024-01-31,0.2718441517360988
CHE,2024-02-29,0.2569442000125683
CHE,2024-03-31,0.21339272403457019
CHN,2023-10-31,0.21718934851385022
CHN,2023-11-30,0.24060341875938698
CHN,2023-12-31,0.25803918135470477
CHN,2024-01-31,0.25803918135470477
CHN,2024-02-29,0.27990581966747197
CHN,2024-03-31,0.2580784268279505
DEU,2023-10-31,0.25528749288741875
DEU,2023-11-30,0.27294638231369844
DEU,2023-12-31,0.22664121103062984
DEU,2024-01-31,0.22711618952072624
DEU,2024-02-29,0.25528749288741875
DEU,2024-03-31,0.25528749288741875
ESP,2023-10-31,0.2569442000125683
ESP,2023-11-30,0.2753836099767162
ESP,2023-12-31,0.21835425508895367
ESP,2024-01-31,0.2569442000125683
ESP,2024-02-29,0.2384398215338699
ESP,2024-03-31,0.21339272403457019
FRA,2023-10-31,0.25528749288741875
FRA,2023-11-30,0.22971038127968205
FRA,2023-12-31,0.25528749288741875
FRA,2024-01-31,0.25528749288741875
FRA,2024-02-29,0.27294638231369844
FRA,2024-03-31,0.27294638231369844
GBR,2023-10-31,0.25528749288741875
GBR,2023-11-30,0.23626543660453758
GBR,2023-12-31,0.2374698232031869
GBR,2024-01-31,0.25528749288741875
GBR,2024-02-29,0.22664121103062984
GBR,2024-03-31,0.23626543660453758
IDN,2023-10-31,0.22830530403579216
IDN,2023-11-30,0.2569442000125683
IDN,2023-12-31,0.23773287443396215
IDN,2024-01-31,0.2753836099767162
IDN,2024-02-29,0.2569442000125683
IDN,2024-03-31,0.23773287443396215
IND,2023-10-31,0.27294638231369844
IND,2023-11-30,0.27294638231369844
IND,2023-12-31,0.27294638231369844
IND,2024-01-31,0.27294638231369844
IND,2024-02-29,0.25528749288741875
IND,2024-03-31,0.27294638231369844
IRL,2023-10-31,0.2374698232031869
IRL,2023-11-30,0.27294638231369844
IRL,2023-12-31,0.25528749288741875
IRL,2024-01-31,0.25528749288741875
IRL,2024-02-29,0.21260783991882792
IRL,2024-03-31,0.24413371348836052
ISR,2023-10-31,0.23626543660453758
ISR,2023-11-30,0.23626543660453758
ISR,2023-12-31,0.25528749288741875
ISR,2024-01-31,0.21260783991882792
ISR,2024-02-29,0.27294638231369844
ISR,2024-03-31,0.22111709181513506
ITA,2023-10-31,0.21260783991882792
ITA,2023-11-30,0.27294638231369844
ITA,2023-12-31,0.25528749288741875
ITA,2024-01-31,0.27294638231369844
ITA,2024-02-29,0.22664121103062984
ITA,2024-03-31,0.25528749288741875
JPN,2023-10-31,0.2569442000125683
JPN,2023-11-30,0.24426504133574733
JPN,2023-12-31,0.2753836099767162
JPN,2024-01-31,0.2753836099767162
JPN,2024-02-29,0.23773287443396215
JPN,2024-03-31,0.22936630724879095
KOR,2023-10-31,0.23773287443396215
KOR,2023-11-30,0.2278337697295718
KOR,2023-12-31,0.2753836099767162
KOR,2024-01-31,0.23089949579474797
KOR,2024-02-29,0.2278337697295718
KOR,2024-03-31,0.2569442000125683
MEX,2023-10-31,0.27294638231369844
MEX,2023-11-30,0.22740464525158874
MEX,2023-12-31,0.2369479948554577
MEX,2024-01-31,0.27131459427086646
MEX,2024-02-29,0.25528749288741875
MEX,2024-03-31,0.21260783991882792
NLD,2023-10-31,0.22793971967548252
NLD,2023-11-30,0.2569442000125683
NLD,2023-12-31,0.23773287443396215
NLD,2024-01-31,0.2753836099767162
NLD,2024-02-29,0.2225867209073847
NLD,2024-03-31,0.2753836099767162
NOR,2023-10-31,0.25528749288741875
NOR,2023-11-30,0.27131459427086646
NOR,2023-12-31,0.27294638231369844
NOR,2024-01-31,0.27294638231369844
NOR,2024-02-29,0.2568733791517837
NOR,2024-03-31,0.25528749288741875
POL,2023-10-31,0.25153667223921256
POL,2023-11-30,0.22572251460457005
POL,2023-12-31,0.25290972604553597
POL,2024-01-31,0.25290972604553597
POL,2024-02-29,0.25290972604553597
POL,2024-03-31,0.26939080732796555
RUS,2023-10-31,0.27294638231369844
RUS,2023-11-30,0.2369479948554577
RUS,2023-12-31,0.27294638231369844
RUS,2024-01-31,0.22664121103062984
RUS,2024-02-29,0.25528749288741875
RUS,2024-03-31,0.23626543660453758
SAU,2023-10-31,0.2569442000125683
SAU,2023-11-30,0.2753836099767162
SAU,2023-12-31,0.22936630724879095
SAU,2024-01-31,0.2569442000125683
SAU,2024-02-29,0.2753836099767162
SAU,2024-03-31,0.2753836099767162
SGP,2023-10-31,0.25528749288741875
SGP,2023-11-30,0.25528749288741875
SGP,2023-12-31,0.27131459427086646
SGP,2024-01-31,0.2568733791517837
SGP,2024-02-29,0.27294638231369844
SGP,2024-03-31,0.24689778093749748
SWE,2023-10-31,0.25290972604553597
SWE,2023-11-30,0.26939080732796555
SWE,2023-12-31,0.26939080732796555
SWE,2024-01-31,0.23498333826605133
SWE,2024-02-29,0.25290972604553597
SWE,2024-03-31,0.2343422240753595
THA,2023-10-31,0.2687718764758888
THA,2023-11-30,0.2468005221176778
THA,2023-12-31,0.2468005221176778
THA,2024-01-31,0.23201440636287188
THA,2024-02-29,0.267199777894244
THA,2024-03-31,0.26610236476234855
TUR,2023-10-31,0.22508698746134567
TUR,2023-11-30,0.2445403914627998
TUR,2023-12-31,0.25290972604553597
TUR,2024-01-31,0.21161528925716144
TUR,2024-02-29,0.22804676358061113
TUR,2024-03-31,0.25290972604553597
USA,2023-10-31,0.27294638231369844
USA,2023-11-30,0.23626543660453758
USA,2023-12-31,0.27294638231369844
USA,2024-01-31,0.24260622148172162
USA,2024-02-29,0.2267506051604166
USA,2024-03-31,0.25528749288741875
